REF,Power On,Cooling,Body Damage,Compressor,PCB,Part Missing,Fan,Cooling Coil,Condenser,Thermostate,Water Tank
AC,Power On,Cooling,Body Damage,Compressor,PCB,Part Missing,Fan Motor,Condenser,Evaproter Coil,Swing Motor,
Dispenser,Power On,Cooling,Body Damage,Compressor,PCB,Part Missing,Fan,Cooling Coil,Condenser,Thermostate,Water Tank
Washing Machine,Power On,Motor,PCB,Gear Box,Body Damage,Water Leakage,Timer,Water In-lay Valve,Water Out-lay Motor,Heater,
Dishwasher,Power On,Motor,PCB,Gear Box,Body Damage,Water Leakage,Timer,Water In-lay Valve,Water Out-lay Motor,Heater,
kettle,Power On,Thermostate,Element,Body damage,,,,,,,
rice cooker,Power On,Thermostate,Element,Body damage,,,,,,,
Sanwichmaker,Power On,Thermostate,Element,Body damage,,,,,,,
Hand Blander,Power On,PCB,Motor,Body Damage,,,,,,,
Mixer Grinder,Power On,Regulator,Motor,Jar,PCB,Body Damage,,,,,
Juicer,Power On,Regulator,Motor,Jar,PCB,Body Damage,,,,,
Fan,Power On,Motor,Fan Blade,Swing Motor,PCB,,,,,,
Induction Stove,Power On,PCB,Fan Motor,Induction Coil,Body Damage,,,,,,
Air Cooler,Power On,Regulator,Motor,Pump,Fan Blade,Body Damage,,,,,
Water Purifier,Power On,Pump,Filter,Adapter/PCB,Body Damage,,,,,,
LED TV,Power On,COB,Panel,PCB,Speaker,Body Damage,Connecter,,,,
Vaccume Cleaner,Power On,PCB,Motor,Pipe,Body Damage,,,,,,
Oven,Power On,PCB,Motor,Element,Body,,,,,,
Toaster,Power On,PCB,Motor,Element,Body,,,,,,
Massager,Power on,PCB,Motor,Remote,Part Missing,,,,,,
Neck Pillow,Power on,PCB,Motor,Remote,Part Missing,,,,,,
Coffee Maker,Power On,Element,Glass,Filter,,,,,,,
Iron,Power On,Thermostate,Element,Body Damage,,,,,,,
Gyser,Power On ,Thermostate,Element,Fan Motor,,,,,,,
Heat Convector,Power On ,Thermostate,Element,Fan Motor,,,,,,,
Extension Cord,Power On,Switch ,Socket,Wire,Body,,,,,,
Hair Dryer,Power On,PCB,Motor,Element,,,,,,,
Straighter,Power On,PCB,Motor,Element,,,,,,,
Audio System,Power On,Speaker,Bass Speaker,PCB,Mother Board,Body Damage,Mike,Connector,LED Light,Battery,
USB Cable,Power On,Working,Discarded,,,,,,,,
Audio Cable,Power On,Working,Discarded,,,,,,,,
Power Bank,Power On,Working,Discarded,,,,,,,,
Mic,Power On,Working,Discarded,,,,,,,,
Mobile Charger,Power On,Working,Discarded,,,,,,,,
Headphones,Power On,Working,Discarded,,,,,,,,
Imaging Accessories,Power On,Working,Discarded,,,,,,,,
Binocular,Power On,Working,Discarded,,,,,,,,
Camera,Power On,Working,Discarded,,,,,,,,
Tablet,Power On,Working,Discarded,,,,,,,,
Cover,Power On,Working,Discarded,,,,,,,,
Selfie Stick,Power On,Working,Discarded,,,,,,,,
Input Device,Power On,Working,Discarded,,,,,,,,
Office Solution,Power On,Working,Discarded,,,,,,,,
Remote,Power On,Working,Discarded,,,,,,,,
Phone,Power On,Working,Discarded,,,,,,,,
Pen Drive,Power On,Working,Discarded,,,,,,,,
Data Card,Power On,Working,Discarded,,,,,,,,
Sun Glass,Power On,Working,Discarded,,,,,,,,
Software,Power On,Working,Discarded,,,,,,,,
WiFi Device,Power On,Working,Discarded,,,,,,,,
Smart Watch,Power On,Working,Discarded,,,,,,,,
Data Storage,Power On,Working,Discarded,,,,,,,,
Media File,Power On,Working,Discarded,,,,,,,,
UPS,Power On,Working,Discarded,,,,,,,,
Printer Accessary,Power On,Working,Discarded,,,,,,,,
Arm Band,Power On,Working,Discarded,,,,,,,,
Piano,Power On,Working,Discarded,,,,,,,,
Bulb,Power On,Working,Discarded,,,,,,,,
Drum Kit,Power On,Working,Discarded,,,,,,,,
Mobile Cover,Power On,Working,Discarded,,,,,,,,
Dock,Power On,Working,Discarded,,,,,,,,
Laser Presenter,Power On,Working,Discarded,,,,,,,,
Mug,Power On,Working,Discarded,,,,,,,,
Bowl,Power On,Working,Discarded,,,,,,,,
Cooling Pad,Power On,Working,Discarded,,,,,,,,
Led Bulb,Power On,Working,Discarded,,,,,,,,
Tripod,Power On,Working,Discarded,,,,,,,,
Laptop Stand,Power On,Working,Discarded,,,,,,,,
Mobile Lens,Power On,Working,Discarded,,,,,,,,
Gas Stove,Power On,Working,Discarded,,,,,,,,
UV Filter,Power On,Working,Discarded,,,,,,,,
Oven Pot,Power On,Working,Discarded,,,,,,,,
Glass set,Power On,Working,Discarded,,,,,,,,
Sewing Machine,Power On,Working,Discarded,,,,,,,,
Gaming Device,Power On,Working,Discarded,,,,,,,,
Battery,Power On,Working,Discarded,,,,,,,,
